hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky
Z9-36-043,Z9/36,43,2026-06-23,"54. Návrh na poskytnutí neinvestičních příspěvků základním školám na realizaci projektu ""Participace ve školách"" – návrh rozpočtového opatření, 55. Návrh na poskytnutí neinvestičních příspěvků mateřským školám na realizaci pilotního projektu ""Participace ve školkách"" – návrh rozpočtového opatření",Přijato,9dfcc47b0dc7f906,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-43-56316.html,47,41,0,4,2,ok,,není označeno jako neplatné,ano
Z9-36-044,Z9/36,44,2026-06-23,"56. Návrh na poskytnutí individuální neinvestiční dotace Českému volejbalovému svazu na uspořádání Mistrovství Evropy ve volejbalu žen 2026, 57. Návrh na poskytnutí individuální neinvestiční dotace KOMETA GROUP, spolek na zabezpečení projektu „Podpora Akademie v rámci HC KOMETA BRNO“ v roce 2026",Přijato,d4a78ad4e6d24dd7,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-44-56390.html,47,45,0,0,2,ok,,není označeno jako neplatné,ano
Z9-36-045,Z9/36,45,2026-06-23,58. Návrh na poskytnutí individuálních neinvestičních dotací pro oblast tělovýchovy a sportu pro rok 2026 – I. kolo – návrh rozpočtového opatření,Přijato,e1c231243238e95e,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-45-56431.html,47,43,0,1,3,ok,,není označeno jako neplatné,ano
Z9-36-046,Z9/36,46,2026-06-23,"59. Návrh na poskytnutí neinvestičních dotací na podporu handicapovaných sportovců pro rok 2026, 60. Návrh na poskytnutí neinvestičních dotací na podporu významných sportovních akcí konaných ve městě Brně v roce 2026 – návrh rozpočtového opatření",Přijato,c9674a09f2ab6956,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-46-56465.html,47,46,0,0,1,ok,,není označeno jako neplatné,ano
Z9-36-047,Z9/36,47,2026-06-23,"61. Návrh na poskytnutí individuální neinvestiční dotace společnosti KOMETA GROUP, a. s., na úhradu provozních nákladů haly Rondo v roce 2026",Přijato,76f003cb6c81e1d1,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-47-56497.html,47,41,0,4,2,ok,,není označeno jako neplatné,ano
Z9-36-048,Z9/36,48,2026-06-23,62. Návrh na poskytnutí individuální neinvestiční dotace na projekt IGNIS BRUNENSIS v roce 2028 - stažení bodu,Nepřijato,ad5ac869d8c0fb75,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-48-56776.html,47,11,1,14,21,ok,,není označeno jako neplatné,ano
Z9-36-049,Z9/36,49,2026-06-23,62. Návrh na poskytnutí individuální neinvestiční dotace na projekt IGNIS BRUNENSIS v roce 2028 - hlasování o návrhu p. Lahody,Nepřijato,1b52a633258154cd,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-49-56994.html,47,18,0,7,22,ok,,není označeno jako neplatné,ano
Z9-36-050,Z9/36,50,2026-06-23,62. Návrh na poskytnutí individuální neinvestiční dotace na projekt IGNIS BRUNENSIS v roce 2028,Přijato,19a73f04e034a6f2,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-50-57033.html,47,28,3,9,7,ok,,není označeno jako neplatné,ano
Z9-36-051,Z9/36,51,2026-06-23,63. Návrh na poskytnutí neinvestičních dotací na zachování a obnovu kulturních památek v roce 2026 – návrh rozpočtového opatření,Přijato,9356d03b3aeecb3b,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-51-57079.html,47,43,0,0,4,ok,,není označeno jako neplatné,ano
Z9-36-052,Z9/36,52,2026-06-23,64. Návrh na přidělení státní dotace od Ministerstva kultury z Programu regenerace městských památkových rezervací a městských památkových zón v roce 2026 a návrh na úhradu povinného podílu města ke státní dotaci – návrh rozpočtového opatření,Přijato,c02bbf1eb7c32e63,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-52-57135.html,47,44,0,0,3,ok,,není označeno jako neplatné,ano
Z9-36-053,Z9/36,53,2026-06-23,"65. Návrh na změnu účelu schváleného investičního příspěvku Muzeu města Brna, příspěvkové organizace, v roce 2026",Přijato,4e93ba6455a07050,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-53-57168.html,47,46,0,0,1,ok,,není označeno jako neplatné,ano
Z9-36-054,Z9/36,54,2026-06-23,"66. Návrh na změnu zatřídění části schváleného investičního příspěvku Domu umění města Brna, příspěvkové organizaci, v roce 2026 – návrh rozpočtového opatření",Přijato,3c11ebfa6835e9f8,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-54-57198.html,47,46,0,0,1,ok,,není označeno jako neplatné,ano
