zasedani,url,zapis_id
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-42-33247.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-43-33280.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-44-33330.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-45-33414.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-46-33446.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-47-33478.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-48-33510.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-49-33542.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-50-33575.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-51-33614.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-52-33646.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-53-33680.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-54-33712.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-55-33740.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-56-33779.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-57-33829.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-58-33894.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-59-33968.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-60-33999.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-61-34139.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-62-34190.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-63-34219.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-64-34257.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-65-34395.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-66-34458.html,a43c0850f687c0a3
Z9/04,https://apl.brno.cz/protokoly-zmb/zmb-z9-04/20230124-68-34781.html,a43c0850f687c0a3
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-1-29685.html,9d9381375d84a343
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-2-29979.html,9d9381375d84a343
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-3-29997.html,9d9381375d84a343
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-4-30127.html,9d9381375d84a343
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-5-30237.html,9d9381375d84a343
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-6-30715.html,9d9381375d84a343
Z9/02,https://apl.brno.cz/protokoly-zmb/zmb-z9-02/20221115-7-32307.html,9d9381375d84a343
