id,url,kategorie,nazev,stazeno_utc,http_status,konecna_url,content_type,soubor,sha256,bajtu,stav,text,role_v_analyze,extrakce,pozadavkove_hlavicky
dd3eda99a0a699f0,https://www.brno.cz/documents/20121/15138286/Losovani-do-ZMB-2026.pdf/cf92fcb2-3f91-e34f-b188-50e53115951d,kampan_2026,,2026-09-19T19:00:32Z,200,https://www.brno.cz/documents/20121/15138286/Losovani-do-ZMB-2026.pdf/cf92fcb2-3f91-e34f-b188-50e53115951d,application/pdf,zdroje/dd3eda99a0a699f0.pdf,b44b088ec6f029c1145d0bd3514566524c9b9bf48de0f905060d00536d66ccc3,165132,ok,texty/dd3eda99a0a699f0.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,ok,
bc367294a3a2b4cb,https://www.brnoklidem.cz/program/,kampan_2026,Program - Brnoklidem,2026-09-19T19:00:31Z,200,https://www.brnoklidem.cz/program/,text/html; charset=UTF-8,zdroje/bc367294a3a2b4cb.html,0a126cc70af2b3782664c69264e2027e3a4721513f7e4ffe03717b20d0ac7351,104683,ok,texty/bc367294a3a2b4cb.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
ac3bdecd898a2937,https://www.brnonejlepsiadresa.cz/,kampan_2026,Brno - nejlepší adresa,2026-09-19T19:01:26Z,200,https://www.brnonejlepsiadresa.cz/,text/html; charset=UTF-8,zdroje/ac3bdecd898a2937.html,a939b62d88217a89c90a87ecf3a66d1ad22ba8c6550a3be3d2d4ec9a574e0019,158910,ok,texty/ac3bdecd898a2937.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
bf1d45a61931b218,https://www.za-luzanky.cz/program,kampan_2026,Program | Za Lužánky,2026-09-19T19:01:27Z,200,https://www.za-luzanky.cz/program,text/html,zdroje/bf1d45a61931b218.html,eb9ce44da6ae2e74d7d4a361718003382973d53d80cd8ac34ae033c988841f04,168767,ok,texty/bf1d45a61931b218.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
73b68b4ff9d559e8,https://volby.gov.cz/opendata/kv2026/KV2026reg20260915_csv.zip,kampan_2026,,2026-09-19T19:01:26Z,200,https://volby.gov.cz/opendata/kv2026/KV2026reg20260915_csv.zip,application/zip,zdroje/73b68b4ff9d559e8.bin,cc1860670dfdcbc58a62492329510104e32a9abb3f5bc7238e0291948708e4b0,9313487,ok,,"Oficiální kandidátní registr ČSÚ, nikoliv sdělení kampaně",,
6f121ba1a42ad3a4,https://brnonaplno.cz/,kampan_2026,BRNO NAPLNO | Rozumné Brno bez zbytečných poplatků,2026-09-19T19:01:28Z,200,https://brnonaplno.cz/,text/html; charset=utf-8,zdroje/6f121ba1a42ad3a4.html,caeed4fa34fd9f0e2a8bbe48516f48795381a27378979413dcf24e21d1a7d137,1977,ok,texty/6f121ba1a42ad3a4.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
14cbab67c39146ed,https://www.spdbrno.cz/,kampan_2026,SPD Brno,2026-09-19T19:01:28Z,200,https://www.spdbrno.cz/,text/html,zdroje/14cbab67c39146ed.html,7a8c2a36af6ee67b68d49855c4f3e57544066b238bb5803956f9d7aebd25a2e5,68539,ok,texty/14cbab67c39146ed.txt,Starý obsah SPD 2022; nepoužit pro tvrzení 2026,,
b31cfa08ef916f6b,https://prisaha.cz/wp-content/uploads/2026/09/Volebni_program_Prisaha_Brno_TEMATA_CELISTVA-1.pdf,kampan_2026,,2026-09-19T19:01:28Z,200,https://prisaha.cz/wp-content/uploads/2026/09/Volebni_program_Prisaha_Brno_TEMATA_CELISTVA-1.pdf,application/pdf,zdroje/b31cfa08ef916f6b.pdf,dc01c5407935956c3e50f11dd3576e943eb72323742cbae00fe0ef7f6477c79b,246552,ok,texty/b31cfa08ef916f6b.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,ok,
3ec3abcabfe4cc6e,https://prisaha.cz/wp-content/uploads/2026/09/Tiskova_zprava_Prisaha_Brno_13_8_2026.pdf,kampan_2026,,2026-09-19T19:01:29Z,200,https://prisaha.cz/wp-content/uploads/2026/09/Tiskova_zprava_Prisaha_Brno_13_8_2026.pdf,application/pdf,zdroje/3ec3abcabfe4cc6e.pdf,7b09c3996f980e17078ceb392b90366f87d47653cc75c65f7603ba7dd2e7b989,255996,ok,texty/3ec3abcabfe4cc6e.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,ok,
a5c21a6ba96acdd7,https://www.brnoblizlidem.cz/plan-pro-brno/,kampan_2026,Plán pro Brno - brnoblizlidem.cz,2026-09-19T19:01:26Z,200,https://www.brnoblizlidem.cz/plan-pro-brno/,text/html; charset=UTF-8,zdroje/a5c21a6ba96acdd7.html,333f8aade577c59c3f8f9a9524421f2fab707c6b9a8023c4825a5df7385ff6cb,374307,ok,texty/a5c21a6ba96acdd7.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
10ee956abb50aa0e,https://www.restartprobrno.cz/,kampan_2026,RESTART PRO BRNO,2026-09-19T19:01:27Z,200,https://www.restartprobrno.cz/,text/html; charset=UTF-8,zdroje/10ee956abb50aa0e.html,fce60548e98bfba112c42f1d5c36abbe30f731e3b5bf82be4bb614b327fe56c0,172247,ok,texty/10ee956abb50aa0e.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,,
5e55775a11100fa9,https://www.zelenebrno.cz/wp-content/uploads/sites/123/2026/09/program/brno-do-detailu.pdf,kampan_2026,,2026-09-19T19:01:29Z,200,https://www.zelenebrno.cz/wp-content/uploads/sites/123/2026/09/program/brno-do-detailu.pdf,application/pdf,zdroje/5e55775a11100fa9.pdf,77d6d98de33b6f5038688eb087947ddfde1f269153a42eaad8b517256aa427a7,1199123,ok,texty/5e55775a11100fa9.txt,Dohledaný zdroj; použití konkrétního tvrzení určuje kampane_2026_tvrzeni.csv,ok,
