hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-14-027,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,367bd232da3f34d5,ano,,"18. Návrh Protokolu č. 76 o předání majetku statutárního města Brna k hospodaření Veřejné zeleni města Brna, příspěvkové organizaci",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-27-36837.html
Z9-14-029,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,63502d7206fb1c38,ano,,"20. Návrh na změnu zástupce statutárního města Brna na všech valných shromážděních Sdružení energetických manažerů měst a obcí, z. s.",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-29-36905.html
Z9-14-028,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,6123ccbd158c1e54,ano,,"19. Návrh na delegování zástupců statutárního města Brna na valnou hromadu spolku CIVINET Česká a Slovenská republika, z. s.; návrh na zrušení části usnesení Z8/19. zasedání ZMB konaného dne 8. 9. 2020, bod 8",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-28-36875.html
Z9-14-030,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,0bf6c18e4c27793a,ano,,"21. Návrh aktualizace dokumentu ""Energetická politika statutárního města Brna""; návrh na zrušení části usnesení Z8/38. zasedání Zastupitelstva města Brna konaného dne 17. května 2022, bod č. 18",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-30-36944.html
Z9-14-031,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,7559b1a6193c5c5a,ano,,22. Akční plán zlepšování kvality ovzduší Brno - 2023,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-31-36976.html
Z9-14-032,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Nehlasoval,Nehlasoval,22332c0f3b67014c,ano,,23. Návrh změny Dotačních pravidel,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-32-37074.html
Z9-14-033,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,e22ba009bdd4ba70,ano,,24. Návrh na poskytnutí peněžitého daru do majetku Jihomoravského filmového nadačního fondu,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-33-37103.html
Z9-14-034,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,69038a31982cfe3e,ano,,25. Aktualizace rozpočtu Odboru investičního MMB – leden 2024 – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-34-37133.html
Z9-14-036,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,75b3fa7bc69dcdd1,ano,,27. Zapojení rezervy rozpočtu v souvislosti s úhradou regresní platby – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-36-37296.html
Z9-14-035,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,5f8cb097e9de5cf4,ano,,26. Návrh rozpočtového opatření – přesun finančních prostředků z rozpočtu Odboru územního plánování a rozvoje MMB do rozpočtu Odboru vnitřních věcí MMB,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-35-37265.html
Z9-14-037,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,d9b634c90b80bf84,ano,,"28. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím úročené investiční zápůjčky městské části Brno-Slatina, návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-37-37328.html
Z9-14-038,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,6fae8d083fe774ef,ano,,29. Zapojení Fondu rezerv a rozvoje v souvislosti s návrhem na poskytnutí neinvestičních transferů a investičního transferu městským částem – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-38-37360.html
Z9-14-040,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,1b0cb1f4d3678f5f,ano,,31. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelového investičního transferu městské části Brno-sever na realizaci II. etapy parku Marie Restituty – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-40-37766.html
Z9-14-039,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,a9276c96e25b9bcb,ano,,"30. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelového neinvestičního příspěvku Kanceláři architekta města Brna, příspěvkové organizaci, na soutěž o návrh ""Sportovní hala pro dráhovou cyklistiku a atletiku"", návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-39-37732.html
Z9-14-041,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,b77a1ac826d53ae7,ano,,32. Návrh na poskytnutí transferů městským částem z rozpočtu Odboru investičního MMB na rok 2024 – návrh rozpočtového opatření,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-41-37798.html
Z9-14-042,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,d3b01fdd9ec0b68f,ano,,hlasování o zařazení bodu č. 97,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-42-40462.html
Z9-14-043,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,f518ef2cd0ecfc0f,ano,,97. Volba členky/člena Rady města Brna pro participaci - Petr Bořecký,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-43-40828.html
Z9-14-044,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,041d3181661df7ff,ano,,"15. Žádost obchodní společnosti Energie Teplárny Brno, s. r. o., o vstup do Koncernu statutárního města Brna, návrh Dodatku č. 4 k Deklaraci Koncernu statutárního města Brna",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-44-41046.html
Z9-14-045,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,0e436362eb6a7697,ano,,16. Koordinace a synchronizace projektů informačních a komunikačních technologií řízených osob – návrh předchozího souhlasu s udělením koncernového pokynu,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-45-41242.html
